word,decision,source,page,confidence,status,reason,hint,sort_order
лењити,approved,pdf_candidate,622,medium,needs_review,lowercase-entry|previous-line-closed,,
лењост,approved,pdf_candidate,622,medium,needs_review,lowercase-entry|previous-line-closed,,
лепеза,approved,pdf_candidate,623,medium,needs_review,lowercase-entry|previous-line-closed,,
лепити,approved,pdf_candidate,623,medium,needs_review,lowercase-entry|previous-line-closed,,
лептир,approved,pdf_candidate,624,medium,needs_review,lowercase-entry|previous-line-closed,,
летети,approved,pdf_candidate,625,medium,needs_review,lowercase-entry|previous-line-closed,,
лечити,approved,pdf_candidate,626,medium,needs_review,lowercase-entry|previous-line-closed,,
лечник,approved,pdf_candidate,627,medium,needs_review,lowercase-entry|previous-line-closed,,
либити,approved,pdf_candidate,628,medium,needs_review,lowercase-entry|previous-line-closed,,
ливада,approved,pdf_candidate,628,medium,needs_review,lowercase-entry|previous-line-closed,,
линета,approved,pdf_candidate,631,medium,needs_review,lowercase-entry|previous-line-closed,,
лирика,approved,pdf_candidate,632,medium,needs_review,lowercase-entry|previous-line-closed,,
лирски,deferred,pdf_candidate,632,medium,needs_review,lowercase-entry|previous-line-closed,,
литица,approved,pdf_candidate,634,medium,needs_review,lowercase-entry|previous-line-closed,,
лишити,approved,pdf_candidate,636,medium,needs_review,lowercase-entry|previous-line-closed,,
ловина,approved,pdf_candidate,637,medium,needs_review,lowercase-entry|previous-line-closed,,
лолати,approved,pdf_candidate,640,medium,needs_review,lowercase-entry|previous-line-closed,,
лудети,approved,pdf_candidate,643,medium,needs_review,lowercase-entry|previous-line-closed,,
луксуз,approved,pdf_candidate,644,medium,needs_review,lowercase-entry|previous-line-closed,,
лустер,approved,pdf_candidate,645,medium,needs_review,lowercase-entry|previous-line-closed,,
људска,deferred,pdf_candidate,937,medium,needs_review,lowercase-entry|previous-line-closed,,
љуљаво,approved,pdf_candidate,649,medium,needs_review,lowercase-entry|previous-line-closed,,
љутито,deferred,pdf_candidate,650,medium,needs_review,lowercase-entry|previous-line-closed,,
магнум,approved,pdf_candidate,654,medium,needs_review,lowercase-entry|previous-line-closed,,
мазало,approved,pdf_candidate,655,medium,needs_review,lowercase-entry|previous-line-closed,,
максим,approved,pdf_candidate,659,medium,needs_review,lowercase-entry|previous-line-closed,,
малеус,deferred,pdf_candidate,660,medium,needs_review,lowercase-entry|previous-line-closed,,
малиша,approved,pdf_candidate,660,medium,needs_review,lowercase-entry|previous-line-closed,,
мангуп,approved,pdf_candidate,663,medium,needs_review,lowercase-entry|previous-line-closed,,
мандал,approved,pdf_candidate,664,medium,needs_review,lowercase-entry|previous-line-closed,,
манути,approved,pdf_candidate,666,medium,needs_review,lowercase-entry|previous-line-closed,,
мањити,approved,pdf_candidate,666,medium,needs_review,lowercase-entry|previous-line-closed,,
масакр,approved,pdf_candidate,669,medium,needs_review,lowercase-entry|previous-line-closed,,
мббник,deferred,pdf_candidate,711,medium,needs_review,lowercase-entry|previous-line-closed,,
мевлуд,approved,pdf_candidate,677,medium,needs_review,inflection-after-comma|previous-line-closed|ocr-noise-near-entry,,
мездра,approved,pdf_candidate,681,medium,needs_review,lowercase-entry|previous-line-closed,,
мелиса,approved,pdf_candidate,683,medium,needs_review,lowercase-entry|previous-line-closed,,
